route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
1_286,1_967_262_10_286_2,1_16267_967,,0,1_286_I
1_286,1_967_262_10_286_2,1_16268_967,,0,1_286_I
1_286,1_967_262_10_286_2,1_16269_967,,0,1_286_I
1_286,1_967_262_10_286_2,1_16270_967,,0,1_286_I
1_286,1_967_262_10_286_2,1_16271_967,,0,1_286_I
1_286,1_967_262_10_286_2,1_16272_967,,0,1_286_I
1_286,1_967_262_10_286_2,1_16273_967,,0,1_286_I
1_286,1_967_262_10_286_2,1_16274_967,,0,1_286_I
1_286,1_967_262_10_286_2,1_16275_967,,0,1_286_I
1_286,1_967_262_10_286_2,1_16276_967,,0,1_286_I
1_286,1_967_262_10_286_2,1_16277_967,,0,1_286_I
1_286,1_967_262_10_286_2,1_16278_967,,0,1_286_I
1_286,1_967_262_10_286_2,1_16279_967,,0,1_286_I
1_286,1_967_262_10_286_2,1_16280_967,,0,1_286_I
1_286,1_967_262_10_286_2,1_16281_967,,0,1_286_I
1_286,1_967_262_10_286_2,1_16282_967,,0,1_286_I
1_286,1_967_262_10_286_2,1_16283_967,,0,1_286_I
1_286,1_967_262_10_286_2,1_16284_967,,0,1_286_I
1_286,1_967_262_10_286_2,1_16285_967,,1,1_286_V
1_286,1_967_262_10_286_2,1_16286_967,,1,1_286_V
1_286,1_967_262_10_286_2,1_16287_967,,1,1_286_V
1_286,1_967_262_10_286_2,1_16288_967,,1,1_286_V
1_286,1_967_262_10_286_2,1_16289_967,,1,1_286_V
1_286,1_967_262_10_286_2,1_16290_967,,1,1_286_V
1_286,1_967_262_10_286_2,1_16291_967,,1,1_286_V
1_286,1_967_262_10_286_2,1_16292_967,,1,1_286_V
1_286,1_967_262_10_286_2,1_16293_967,,1,1_286_V
1_286,1_967_262_10_286_2,1_16294_967,,1,1_286_V
1_286,1_967_262_10_286_2,1_16295_967,,1,1_286_V
1_286,1_967_262_10_286_2,1_16296_967,,1,1_286_V
1_286,1_967_262_10_286_2,1_16297_967,,1,1_286_V
1_286,1_967_262_10_286_2,1_16300_967,,1,1_286_V
1_286,1_968_263_10_286_3,1_16301_968,,1,1_286_V
1_286,1_968_263_10_286_3,1_16302_968,,1,1_286_V
1_286,1_968_263_10_286_3,1_16303_968,,1,1_286_V
1_286,1_968_263_10_286_3,1_16304_968,,1,1_286_V
1_286,1_968_263_10_286_3,1_16305_968,,1,1_286_V
1_286,1_968_263_10_286_3,1_16306_968,,1,1_286_V
1_286,1_968_263_10_286_3,1_16307_968,,1,1_286_V
1_286,1_968_263_10_286_3,1_16308_968,,1,1_286_V
1_286,1_968_263_10_286_3,1_16309_968,,1,1_286_V
1_286,1_968_263_10_286_3,1_16310_968,,1,1_286_V
1_286,1_968_263_10_286_3,1_16311_968,,1,1_286_V
1_286,1_968_263_10_286_3,1_16312_968,,1,1_286_V
1_286,1_968_263_10_286_3,1_16313_968,,1,1_286_V
1_286,1_968_263_10_286_3,1_16314_968,,1,1_286_V
1_286,1_968_263_10_286_3,1_16315_968,,1,1_286_V
1_286,1_968_263_10_286_3,1_16316_968,,1,1_286_V
1_286,1_968_263_10_286_3,1_16317_968,,1,1_286_V
1_286,1_968_263_10_286_3,1_16318_968,,1,1_286_V
1_286,1_968_263_10_286_3,1_16319_968,,1,1_286_V
1_286,1_968_263_10_286_3,1_16320_968,,1,1_286_V
1_286,1_968_263_10_286_3,1_16321_968,,1,1_286_V
1_286,1_968_263_10_286_3,1_16322_968,,1,1_286_V
1_286,1_968_263_10_286_3,1_16323_968,,1,1_286_V
1_286,1_968_263_10_286_3,1_16324_968,,1,1_286_V
1_286,1_968_263_10_286_3,1_16325_968,,1,1_286_V
1_286,1_968_263_10_286_3,1_16326_968,,1,1_286_V
1_286,1_968_263_10_286_3,1_16327_968,,1,1_286_V
1_286,1_968_263_10_286_3,1_16328_968,,1,1_286_V
1_286,1_968_263_10_286_3,1_16329_968,,1,1_286_V
1_286,1_968_263_10_286_3,1_16330_968,,1,1_286_V
1_286,1_968_263_10_286_3,1_16331_968,,0,1_286_I
1_286,1_968_263_10_286_3,1_16332_968,,0,1_286_I
1_286,1_968_263_10_286_3,1_16333_968,,0,1_286_I
1_286,1_968_263_10_286_3,1_16334_968,,0,1_286_I
1_286,1_968_263_10_286_3,1_16335_968,,0,1_286_I
1_286,1_968_263_10_286_3,1_16336_968,,0,1_286_I
1_286,1_968_263_10_286_3,1_16337_968,,0,1_286_I
1_286,1_968_263_10_286_3,1_16338_968,,0,1_286_I
1_286,1_968_263_10_286_3,1_16339_968,,0,1_286_I
1_286,1_968_263_10_286_3,1_16340_968,,0,1_286_I
1_286,1_968_263_10_286_3,1_16341_968,,0,1_286_I
1_286,1_968_263_10_286_3,1_16342_968,,0,1_286_I
1_286,1_968_263_10_286_3,1_16343_968,,0,1_286_I
1_286,1_968_263_10_286_3,1_16344_968,,0,1_286_I
1_286,1_968_263_10_286_3,1_16345_968,,0,1_286_I
1_286,1_968_263_10_286_3,1_16346_968,,0,1_286_I
1_286,1_968_263_10_286_3,1_16347_968,,0,1_286_I
1_286,1_968_263_10_286_3,1_16348_968,,0,1_286_I
1_286,1_968_263_10_286_3,1_16349_968,,0,1_286_I
1_286,1_968_263_10_286_3,1_16350_968,,0,1_286_I
1_286,1_968_263_10_286_3,1_16351_968,,0,1_286_I
1_286,1_968_263_10_286_3,1_16352_968,,0,1_286_I
1_286,1_968_263_10_286_3,1_16353_968,,0,1_286_I
